Nama_File,Kelas,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Hist_R_bin0,Hist_R_bin1,Hist_R_bin2,Hist_R_bin3,Hist_R_bin4,Hist_R_bin5,Hist_R_bin6,Hist_R_bin7,Hist_R_bin8,Hist_R_bin9,Hist_G_bin0,Hist_G_bin1,Hist_G_bin2,Hist_G_bin3,Hist_G_bin4,Hist_G_bin5,Hist_G_bin6,Hist_G_bin7,Hist_G_bin8,Hist_G_bin9,Hist_B_bin0,Hist_B_bin1,Hist_B_bin2,Hist_B_bin3,Hist_B_bin4,Hist_B_bin5,Hist_B_bin6,Hist_B_bin7,Hist_B_bin8,Hist_B_bin9
100034.jpg,Aceh_Pintu_Aceh,54.82452392578125,56.953125,60.3828125,45.8195502296225,40.83827580233784,39.2205513468286,4308.0,5831.0,3149.0,912.0,710.0,537.0,357.0,278.0,185.0,117.0,3775.0,5013.0,3229.0,2345.0,931.0,512.0,307.0,148.0,92.0,32.0,2164.0,6268.0,3183.0,2039.0,1575.0,729.0,342.0,62.0,17.0,5.0
100029.jpg,Aceh_Pintu_Aceh,126.94110107421875,85.47998046875,81.54107666015625,82.45378905334618,50.92080789192966,47.65494769954812,3464.0,1777.0,408.0,432.0,638.0,1215.0,2785.0,1628.0,3091.0,946.0,666.0,4545.0,4193.0,1112.0,2357.0,1242.0,1308.0,563.0,324.0,74.0,787.0,6128.0,1364.0,2280.0,2292.0,2215.0,965.0,292.0,60.0,1.0
100026.jpg,Aceh_Pintu_Aceh,196.04669189453125,107.8955078125,96.03662109375,32.371205965003895,78.7944617748148,73.7318808959733,0.0,0.0,0.0,4.0,106.0,1234.0,4298.0,3798.0,3819.0,3125.0,2514.0,4555.0,794.0,521.0,566.0,1423.0,1358.0,1429.0,2987.0,237.0,1388.0,6471.0,1550.0,752.0,712.0,698.0,918.0,1497.0,2080.0,318.0
100030.jpg,Aceh_Pintu_Aceh,85.7230224609375,74.0023193359375,67.55792236328125,50.06019269657134,48.490765767699195,49.226537721971965,1873.0,2509.0,3293.0,2914.0,2629.0,1496.0,918.0,447.0,144.0,161.0,2677.0,3180.0,3459.0,2972.0,1870.0,956.0,770.0,291.0,92.0,117.0,3829.0,3082.0,3330.0,2377.0,1740.0,892.0,753.0,227.0,44.0,110.0
100020.jpg,Aceh_Pintu_Aceh,154.5152587890625,93.66180419921875,83.15338134765625,32.314500460643345,48.3936173807011,38.10963890132698,1.0,19.0,59.0,189.0,2476.0,7823.0,2631.0,1313.0,1412.0,461.0,38.0,1660.0,8106.0,1026.0,1605.0,1393.0,987.0,1071.0,452.0,46.0,72.0,1902.0,8571.0,2127.0,1141.0,1037.0,1115.0,353.0,66.0,0.0
10002.jpg,Aceh_Pintu_Aceh,146.80010986328125,110.57659912109375,114.40667724609375,45.659072225053755,44.5623547262319,42.99479275388522,7.0,515.0,728.0,1159.0,3238.0,3142.0,3081.0,2669.0,1569.0,276.0,24.0,781.0,3441.0,3826.0,2960.0,1973.0,1937.0,925.0,487.0,30.0,53.0,726.0,2379.0,3872.0,3673.0,2712.0,1365.0,1022.0,507.0,75.0
100027.jpg,Aceh_Pintu_Aceh,213.55120849609375,200.8126220703125,192.59185791015625,50.550196130787555,61.226838508690605,65.946549361353,0.0,6.0,68.0,484.0,1082.0,1122.0,1245.0,1281.0,1561.0,9535.0,7.0,263.0,687.0,703.0,984.0,1151.0,1163.0,1248.0,2069.0,8109.0,137.0,583.0,620.0,780.0,1054.0,1159.0,1207.0,1361.0,2605.0,6878.0
10004.jpg,Aceh_Pintu_Aceh,124.80389404296875,130.451416015625,111.67706298828125,55.71794645883158,52.16895565868975,55.702602524423654,183.0,2331.0,1836.0,1291.0,1773.0,2812.0,2220.0,3907.0,31.0,0.0,17.0,1683.0,1960.0,1488.0,1551.0,2653.0,2917.0,4115.0,0.0,0.0,308.0,2450.0,2668.0,2772.0,2063.0,1058.0,1614.0,3439.0,12.0,0.0
10003.jpg,Aceh_Pintu_Aceh,14.65252685546875,6.50665283203125,2.74774169921875,34.20754921151705,15.628486475947966,5.72324371154315,13850.0,502.0,736.0,543.0,382.0,171.0,119.0,59.0,21.0,1.0,14899.0,898.0,439.0,85.0,47.0,16.0,0.0,0.0,0.0,0.0,16111.0,265.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100024.jpg,Aceh_Pintu_Aceh,72.114990234375,68.8046875,73.88818359375,74.52861276715137,74.98607658845012,72.48517205601247,3369.0,7390.0,1702.0,312.0,317.0,402.0,593.0,347.0,537.0,1415.0,4067.0,7660.0,758.0,309.0,322.0,418.0,609.0,503.0,359.0,1379.0,2957.0,6663.0,2780.0,313.0,308.0,411.0,710.0,609.0,293.0,1340.0
100016.jpg,Aceh_Pintu_Aceh,125.82965087890625,71.49578857421875,72.36273193359375,47.03292119357483,62.80720287704204,61.14265609850804,17.0,253.0,1241.0,4150.0,4633.0,2295.0,1358.0,818.0,797.0,822.0,3468.0,5218.0,2572.0,1432.0,1035.0,568.0,345.0,433.0,652.0,661.0,2542.0,6065.0,2748.0,1484.0,965.0,564.0,341.0,410.0,576.0,689.0
100013.jpg,Aceh_Pintu_Aceh,149.83203125,102.40008544921875,86.890869140625,55.934698859464895,62.655640407653905,57.33886584808418,493.0,241.0,705.0,1002.0,2878.0,4033.0,2206.0,1713.0,1462.0,1651.0,940.0,2556.0,4135.0,1854.0,1591.0,1283.0,1300.0,1227.0,1091.0,407.0,1309.0,4034.0,4058.0,1530.0,1359.0,1256.0,1177.0,1075.0,437.0,149.0
10008.jpg,Aceh_Pintu_Aceh,128.3582763671875,115.3470458984375,99.41668701171875,79.52770855547001,71.95889070658679,63.02258200158975,1443.0,3016.0,1773.0,832.0,831.0,902.0,1684.0,1829.0,2177.0,1897.0,837.0,3440.0,2109.0,2190.0,1299.0,865.0,1030.0,1449.0,2291.0,874.0,2222.0,3052.0,1683.0,1447.0,1782.0,2163.0,1953.0,1332.0,607.0,143.0
100021.jpg,Aceh_Pintu_Aceh,106.1663818359375,146.510986328125,160.6263427734375,59.87605221295161,41.45992101052572,32.681982302043735,16.0,1798.0,6430.0,2159.0,717.0,749.0,1154.0,1629.0,1611.0,121.0,0.0,30.0,484.0,1738.0,3269.0,4613.0,2455.0,1636.0,1864.0,295.0,0.0,5.0,122.0,584.0,1902.0,3625.0,5387.0,3156.0,1465.0,138.0
10001.jpg,Aceh_Pintu_Aceh,88.78399658203125,88.71002197265625,78.4100341796875,64.66995278492975,63.89231267754101,56.3036513831995,3878.0,2932.0,1299.0,1542.0,1822.0,1646.0,1386.0,969.0,603.0,307.0,4134.0,2662.0,1112.0,1522.0,1908.0,1819.0,1525.0,982.0,466.0,254.0,3091.0,4149.0,1874.0,1960.0,2016.0,1360.0,834.0,556.0,353.0,191.0
100036.jpg,Aceh_Pintu_Aceh,194.3363037109375,127.32159423828125,110.77569580078125,38.94734037987154,70.44857688313239,66.13224475633112,0.0,0.0,0.0,43.0,665.0,2237.0,3144.0,2700.0,3607.0,3988.0,511.0,3337.0,1611.0,1157.0,1074.0,1534.0,2228.0,1601.0,2743.0,588.0,661.0,3565.0,2422.0,1685.0,1658.0,1525.0,1398.0,1167.0,1947.0,356.0
100040.jpg,Aceh_Pintu_Aceh,149.68658447265625,120.92132568359375,131.29632568359375,55.74849769997077,74.04873520095607,74.02191264044855,0.0,12.0,703.0,3661.0,2998.0,1735.0,1821.0,1667.0,1904.0,1883.0,306.0,4825.0,1343.0,954.0,977.0,1126.0,2029.0,2035.0,1565.0,1224.0,39.0,3088.0,3062.0,1014.0,968.0,945.0,1299.0,1978.0,2224.0,1767.0
20008.jpg,Bali_Barong,84.74322509765625,70.67254638671875,83.476318359375,42.854291267368225,43.30893900190806,45.127870631513126,487.0,3409.0,3826.0,3622.0,2915.0,1046.0,378.0,224.0,476.0,1.0,1962.0,4172.0,3950.0,3199.0,1876.0,452.0,178.0,165.0,409.0,21.0,1447.0,3248.0,2846.0,3004.0,3316.0,1619.0,393.0,186.0,322.0,3.0
200036.jpg,Bali_Barong,77.52081298828125,137.5770263671875,132.24560546875,49.68202167541162,45.16640699507774,43.510500766793726,2410.0,3418.0,2173.0,5296.0,1446.0,470.0,301.0,353.0,200.0,317.0,13.0,431.0,1480.0,1936.0,2035.0,2325.0,5909.0,1128.0,666.0,461.0,34.0,518.0,1449.0,1915.0,2215.0,6926.0,1620.0,637.0,608.0,462.0
